time,cluster,in_out
1382100511.0,1,out
1382100511.0,7,in
1382100535.0,7,out
1382100535.0,1,in
1382100542.0,1,out
1382100542.0,7,in
1382100552.0,7,out
1382100552.0,1,in
1382100552.0,1,out
1382100552.0,7,in
1382100571.0,7,out
1382100571.0,1,in
1382100597.0,1,out
1382100597.0,7,in
1382105894.0,7,out
1382105894.0,1,in
1382155920.0,1,out
1382155920.0,0,in
1382275294.0,0,out
1382275294.0,7,in
1382275666.0,7,out
1382276256.0,58,in
1382276362.0,58,out
1382276545.0,4,in
1382276746.0,4,out
1382276746.0,1,in
1382326058.0,1,out
1382328449.0,40,in
1382328562.0,40,out
1382330421.0,4,in
1382330609.0,4,out
1382330738.0,58,in
1382330778.0,58,out
1382331313.0,11,in
1382362788.0,11,out
1382363134.0,58,in
1382363167.0,58,out
1382363275.0,4,in
1382363441.0,4,out
1382363441.0,1,in
1382364038.0,1,out
1382364038.0,7,in
1382364925.0,7,out
1382364925.0,1,in
1382428898.0,1,out
1382428898.0,40,in
1382428983.0,40,out
1382430680.0,4,in
1382430715.0,4,out
1382430715.0,1,in
1382431659.0,1,out
1382431659.0,4,in
1382443156.0,4,out
1382443156.0,1,in
1382444169.0,1,out
1382444169.0,7,in
1382818647.0,7,out
1382820209.0,60,in
1382820306.0,60,out
1382821385.0,8,in
1382821385.0,8,out
1382821386.0,8,in
1382842606.0,8,out
1382842696.0,8,in
1382842769.0,8,out
1382843303.0,8,in
1382843329.0,8,out
1382843424.0,8,in
1382843614.0,8,out
1382843614.0,8,in
1382843616.0,8,out
1382844519.0,60,in
1382844583.0,60,out
1382844583.0,60,in
1382844584.0,60,out
1382846137.0,7,in
1382846160.0,7,out
1382847425.0,31,in
1382847425.0,31,out
1382847427.0,31,in
1382847550.0,31,out
1382848147.0,31,in
1382848257.0,31,out
1382848339.0,7,in
1382850087.0,7,out
1382850087.0,1,in
1382868093.0,1,out
1382868093.0,7,in
1382868157.0,7,out
1382869007.0,18,in
1382869077.0,18,out
1382869094.0,21,in
1382869208.0,21,out
1382870463.0,7,in
1382870953.0,7,out
1382870953.0,1,in
1382871008.0,1,out
1382871008.0,7,in
1382871038.0,7,out
1382871038.0,1,in
1382871147.0,1,out
1382871147.0,7,in
1382947475.0,7,out
1382954522.0,31,in
1382954935.0,31,out
1382955178.0,7,in
1382955218.0,7,out
1382955254.0,49,in
1382955259.0,49,out
1382955407.0,21,in
1382955408.0,21,out
1382955413.0,21,in
1382956034.0,21,out
1382956034.0,1,in
1382956057.0,1,out
1382956057.0,4,in
1382956089.0,4,out
1382956089.0,1,in
1383014552.0,1,out
1383014552.0,4,in
1383014577.0,4,out
1383015259.0,61,in
1383016776.0,61,out
1383226501.0,1,in
1383226742.0,1,out
1383226742.0,4,in
1383226820.0,4,out
1383226883.0,58,in
1383226906.0,58,out
1383228063.0,4,in
1383228094.0,4,out
1383228094.0,1,in
1383228233.0,1,out
1383228233.0,4,in
1383228257.0,4,out
1383229402.0,4,in
1383229609.0,4,out
1383229609.0,1,in
1383376283.0,1,out
1383376283.0,7,in
1383376322.0,7,out
1383376936.0,11,in
1383377101.0,11,out
1383377265.0,11,in
1383377314.0,11,out
1383377351.0,11,in
1383377404.0,11,out
1383377812.0,7,in
1383377836.0,7,out
1383377836.0,1,in
1383380882.0,1,out
1383380882.0,7,in
1383380897.0,7,out
1383380897.0,1,in
1383380905.0,1,out
1383380905.0,7,in
1383380917.0,7,out
1383380917.0,1,in
1383380924.0,1,out
1383380924.0,7,in
1383380929.0,7,out
1383380929.0,1,in
1383380942.0,1,out
1383380942.0,7,in
1383380944.0,7,out
1383380944.0,1,in
1383381007.0,1,out
1383381007.0,7,in
1383381016.0,7,out
1383381016.0,1,in
1383381020.0,1,out
1383381020.0,7,in
1383381782.0,7,out
1383381782.0,1,in
1383381814.0,1,out
1383381814.0,7,in
1383381834.0,7,out
1383381834.0,1,in
1383381840.0,1,out
1383381840.0,7,in
1383381841.0,7,out
1383381841.0,1,in
1383381972.0,1,out
1383381972.0,7,in
1383381998.0,7,out
1383706485.0,1,in
1383706778.0,1,out
1383706778.0,4,in
1383706805.0,4,out
1383707622.0,61,in
1383707622.0,61,out
1383707624.0,61,in
1383707734.0,61,out
1383727998.0,0,in
1383732520.0,0,out
1383733536.0,11,in
1383733542.0,11,out
1383733558.0,11,in
1383889815.0,11,out
1383889815.0,1,in
1383890152.0,1,out
1383890152.0,4,in
1383890172.0,4,out
1383890910.0,61,in
1383890976.0,61,out
1383896136.0,52,in
1383896180.0,52,out
1384049442.0,52,in
1384049548.0,52,out
1384049549.0,52,in
1384049550.0,52,out
1384049551.0,52,in
1384049561.0,52,out
1384224880.0,1,in
1384225288.0,1,out
1384225288.0,4,in
1384225317.0,4,out
1384226537.0,61,in
1384226654.0,61,out
1384227667.0,4,in
1384227716.0,4,out
1384227716.0,1,in
1384229882.0,1,out
1384229882.0,7,in
1384230025.0,7,out
1384230025.0,1,in
1384230136.0,1,out
1384230136.0,7,in
1384230138.0,7,out
1384230138.0,1,in
1384230141.0,1,out
1384230141.0,7,in
1384230152.0,7,out
1384230152.0,1,in
1384230242.0,1,out
1384230242.0,7,in
1384230393.0,7,out
1384230393.0,1,in
1384855387.0,1,out
1384855387.0,7,in
1384855592.0,7,out
1384855778.0,21,in
1384856381.0,21,out
1384856606.0,7,in
1384856626.0,7,out
1384856691.0,1,in
1384856833.0,1,out
1384856833.0,7,in
1384856928.0,7,out
1384856928.0,1,in
1384858036.0,1,out
1384858300.0,18,in
1384858338.0,18,out
1384858338.0,21,in
1385008976.0,21,out
1385008976.0,1,in
1385009164.0,1,out
1385009164.0,4,in
1385009184.0,4,out
1385010887.0,40,in
1385010932.0,40,out
1385011240.0,0,in
1385552121.0,0,out
1385552360.0,45,in
1385555418.0,45,out
1385556668.0,61,in
1385556702.0,61,out
1385557514.0,4,in
1385557558.0,4,out
1385557558.0,1,in
